date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:10	2660/2660	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Apr%202018%2005:00:10%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Flam-phat-nam-nay-o-vn-co-the-duoi-10%2F&format=xml	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed74cd	(from http://archive.agribankquan5.com.vn/lam-phat-nam-nay-o-vn-co-the-duoi-10/)
12:00:11	2757/2757	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Apr%202018%2005:00:10%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fdu-bao-khac-nhau-ve-tang-truong-kinh-te-vn-tat-ca-chi-la-du-bao%2F	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed6381.json	(from http://archive.agribankquan5.com.vn/du-bao-khac-nhau-ve-tang-truong-kinh-te-vn-tat-ca-chi-la-du-bao/)
12:00:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Apr%202018%2005:00:11%20GMT	http://archive.agribankquan5.com.vn/?p=936	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/indexb648-2.html	(from http://archive.agribankquan5.com.vn/du-bao-khac-nhau-ve-tang-truong-kinh-te-vn-tat-ca-chi-la-du-bao/)
12:00:12	2912/2912	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Apr%202018%2005:00:11%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fdu-bao-khac-nhau-ve-tang-truong-kinh-te-vn-tat-ca-chi-la-du-bao%2F&format=xml	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embedfc62	(from http://archive.agribankquan5.com.vn/du-bao-khac-nhau-ve-tang-truong-kinh-te-vn-tat-ca-chi-la-du-bao/)
12:00:12	169/169	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Apr%202018%2013:29:24%20GMT	http://www.agribankquan5.com.vn/wp-content/uploads/2009/03/moctui.jpg	E:/My%20Web%20Sites/agribankquan5.com.vn/www.agribankquan5.com.vn/wp-content/uploads/2009/03/moctui.3ff.delayed	(from http://archive.agribankquan5.com.vn/nguoi-tieu-dung-bi-choi-xau/)
12:00:13	2466/2466	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Apr%202018%2005:00:12%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fnguoi-tieu-dung-bi-choi-xau%2F	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embeddfd0.json	(from http://archive.agribankquan5.com.vn/nguoi-tieu-dung-bi-choi-xau/)
12:00:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Apr%202018%2005:00:13%20GMT	http://archive.agribankquan5.com.vn/?p=935	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/index3ba5.html	(from http://archive.agribankquan5.com.vn/nguoi-tieu-dung-bi-choi-xau/)
12:00:14	2591/2591	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Apr%202018%2005:00:13%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fnguoi-tieu-dung-bi-choi-xau%2F&format=xml	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed68f4	(from http://archive.agribankquan5.com.vn/nguoi-tieu-dung-bi-choi-xau/)
12:00:14	169/169	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Apr%202018%2013:29:26%20GMT	http://www.agribankquan5.com.vn/wp-content/uploads/2009/03/a1.jpg	E:/My%20Web%20Sites/agribankquan5.com.vn/www.agribankquan5.com.vn/wp-content/uploads/2009/03/a1.jpg	(from http://archive.agribankquan5.com.vn/chung-khoan-ao-ao-tang-gia-trong-phien-t4/)
12:00:15	2539/2539	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Apr%202018%2005:00:14%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fchung-khoan-ao-ao-tang-gia-trong-phien-t4%2F	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed4c11.json	(from http://archive.agribankquan5.com.vn/chung-khoan-ao-ao-tang-gia-trong-phien-t4/)
12:00:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Apr%202018%2005:00:15%20GMT	http://archive.agribankquan5.com.vn/?p=934	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/indexb82b.html	(from http://archive.agribankquan5.com.vn/chung-khoan-ao-ao-tang-gia-trong-phien-t4/)
12:00:16	2649/2649	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Apr%202018%2005:00:15%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fchung-khoan-ao-ao-tang-gia-trong-phien-t4%2F&format=xml	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embedc627	(from http://archive.agribankquan5.com.vn/chung-khoan-ao-ao-tang-gia-trong-phien-t4/)
12:00:16	169/169	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Apr%202018%2013:29:28%20GMT	http://www.agribankquan5.com.vn/wp-content/uploads/2009/03/ty%20phu.jpg	E:/My%20Web%20Sites/agribankquan5.com.vn/www.agribankquan5.com.vn/wp-content/uploads/2009/03/ty%20phu.jpg	(from http://archive.agribankquan5.com.vn/nu-ty-phu-giau-nhat-nga-xin-tien-chinh-phu/)
12:00:16	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Apr%202018%2005:00:16%20GMT	http://www.vnexpress.net/Files/Subject/3B/A0/D0/76/dot_h.gif	E:/My%20Web%20Sites/agribankquan5.com.vn/www.vnexpress.net/Files/Subject/3B/A0/D0/76/dot_h.406.delayed	(from http://archive.agribankquan5.com.vn/nu-ty-phu-giau-nhat-nga-xin-tien-chinh-phu/)
12:00:16	0/0	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2012%20Apr%202018%2005:00:16%20GMT	https://vnexpress.net/Files/Subject/3B/A0/D0/76/dot_h.gif	E:/My%20Web%20Sites/agribankquan5.com.vn/vnexpress.net/Files/Subject/3B/A0/D0/76/dot_h.407.delayed	(from http://archive.agribankquan5.com.vn/nu-ty-phu-giau-nhat-nga-xin-tien-chinh-phu/)
12:00:17	2556/2556	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Apr%202018%2005:00:17%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fnu-ty-phu-giau-nhat-nga-xin-tien-chinh-phu%2F	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed223b.json	(from http://archive.agribankquan5.com.vn/nu-ty-phu-giau-nhat-nga-xin-tien-chinh-phu/)
12:00:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Apr%202018%2005:00:17%20GMT	http://archive.agribankquan5.com.vn/?p=933	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/indexcf93.html	(from http://archive.agribankquan5.com.vn/nu-ty-phu-giau-nhat-nga-xin-tien-chinh-phu/)
12:00:19	2687/2687	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Apr%202018%2005:00:18%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fnu-ty-phu-giau-nhat-nga-xin-tien-chinh-phu%2F&format=xml	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed17ce	(from http://archive.agribankquan5.com.vn/nu-ty-phu-giau-nhat-nga-xin-tien-chinh-phu/)
12:00:19	0/-1	---M--	301	error ('')			http://www.vnexpress.net/Files/Subject/3B/A0/D0/76/dot_h.gif	E:/My%20Web%20Sites/agribankquan5.com.vn/www.vnexpress.net/Files/Subject/3B/A0/D0/76/dot_h.40a.delayed	(from http://archive.agribankquan5.com.vn/nu-ty-phu-giau-nhat-nga-xin-tien-chinh-phu/)
12:00:19	0/-1	---M--	302	error ('')			https://vnexpress.net/Files/Subject/3B/A0/D0/76/dot_h.gif	E:/My%20Web%20Sites/agribankquan5.com.vn/vnexpress.net/Files/Subject/3B/A0/D0/76/dot_h.40b.delayed	(from http://archive.agribankquan5.com.vn/nu-ty-phu-giau-nhat-nga-xin-tien-chinh-phu/)
12:00:19	169/169	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Apr%202018%2013:29:31%20GMT	http://www.agribankquan5.com.vn/wp-content/uploads/2009/03/ck1.jpg	E:/My%20Web%20Sites/agribankquan5.com.vn/www.agribankquan5.com.vn/wp-content/uploads/2009/03/ck1.jpg	(from http://archive.agribankquan5.com.vn/nhan-dien-bao-cao-tai-chinh-co-van-de/)
12:00:20	2561/2561	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Apr%202018%2005:00:19%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fnhan-dien-bao-cao-tai-chinh-co-van-de%2F	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed84e0.json	(from http://archive.agribankquan5.com.vn/nhan-dien-bao-cao-tai-chinh-co-van-de/)
12:00:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Apr%202018%2005:00:20%20GMT	http://archive.agribankquan5.com.vn/?p=932	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/indexdf27.html	(from http://archive.agribankquan5.com.vn/nhan-dien-bao-cao-tai-chinh-co-van-de/)
12:00:21	2689/2689	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Apr%202018%2005:00:20%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fnhan-dien-bao-cao-tai-chinh-co-van-de%2F&format=xml	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embedc23c	(from http://archive.agribankquan5.com.vn/nhan-dien-bao-cao-tai-chinh-co-van-de/)
12:00:21	169/169	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Apr%202018%2013:29:33%20GMT	http://www.agribankquan5.com.vn/wp-content/uploads/2009/03/1barack_obama3.jpg	E:/My%20Web%20Sites/agribankquan5.com.vn/www.agribankquan5.com.vn/wp-content/uploads/2009/03/1barack_obama3.jpg	(from http://archive.agribankquan5.com.vn/nuoc-my-ngay-cang-nghi-ngo-goi-kich-thich-787-ty-usd/)
12:00:22	2636/2636	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Apr%202018%2005:00:22%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fnuoc-my-ngay-cang-nghi-ngo-goi-kich-thich-787-ty-usd%2F	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embedd36a.json	(from http://archive.agribankquan5.com.vn/nuoc-my-ngay-cang-nghi-ngo-goi-kich-thich-787-ty-usd/)
12:00:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Apr%202018%2005:00:22%20GMT	http://archive.agribankquan5.com.vn/?p=931	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/indexf785.html	(from http://archive.agribankquan5.com.vn/nuoc-my-ngay-cang-nghi-ngo-goi-kich-thich-787-ty-usd/)
12:00:23	2764/2764	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Apr%202018%2005:00:23%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fnuoc-my-ngay-cang-nghi-ngo-goi-kich-thich-787-ty-usd%2F&format=xml	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed78e3	(from http://archive.agribankquan5.com.vn/nuoc-my-ngay-cang-nghi-ngo-goi-kich-thich-787-ty-usd/)
